Name,userID,Password,Faculty,Email
CHERN,YCHERN,password,SCSE,YCHERN@e.ntu.edu.sg;
KOH,KOH1,password,ADM,KOH1@e.ntu.edu.sg;
BRANDON,BR015,password,EEE,BR015@e.ntu.edu.sg;
CALVIN,CT113,password,SCSE,CT113@e.ntu.edu.sg;
CHAN,YCN019,password,NBS,YCN019@e.ntu.edu.sg;
DENISE,DL007,password,SCSE,DL007@e.ntu.edu.sg;
DONG,DON84,password,ADM,DON84@e.ntu.edu.sg;
ERNEST,ELI34,password,EEE,ELI34@e.ntu.edu.sg;
LEE,LE51,password,SCSE,LE51@e.ntu.edu.sg;
LIU,SL22,password,NBS,SL22@e.ntu.edu.sg;
RAWAL,AKY013,password,SSS,AKY013@e.ntu.edu.sg;
